"Time","Contracts","Funding Interval","Funding Rate"
"2021-10-06 17:00:00","1000SHIBUSDT Perpetual","8h","-0.0351%"
"2021-10-06 09:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-10-06 01:00:00","1000SHIBUSDT Perpetual","8h","0.0558%"
"2021-10-05 17:00:00","1000SHIBUSDT Perpetual","8h","-0.0918%"
"2021-10-05 09:00:00","1000SHIBUSDT Perpetual","8h","0.0727%"
"2021-10-05 01:00:00","1000SHIBUSDT Perpetual","8h","0.0124%"
"2021-10-04 17:00:00","1000SHIBUSDT Perpetual","8h","0.0432%"
"2021-10-04 09:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-10-04 01:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-10-03 17:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-10-03 09:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-10-03 01:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-10-02 17:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-10-02 09:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-10-02 01:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-10-01 17:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-10-01 09:00:00","1000SHIBUSDT Perpetual","8h","0.0084%"
"2021-10-01 01:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-30 17:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-30 09:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-30 01:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-29 17:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-29 09:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-29 01:00:00","1000SHIBUSDT Perpetual","8h","-0.0036%"
"2021-09-28 17:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-28 09:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-28 01:00:00","1000SHIBUSDT Perpetual","8h","0.0069%"
"2021-09-27 17:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-27 09:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-27 01:00:00","1000SHIBUSDT Perpetual","8h","0.0035%"
"2021-09-26 17:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-26 09:00:00","1000SHIBUSDT Perpetual","8h","0.0036%"
"2021-09-26 01:00:00","1000SHIBUSDT Perpetual","8h","0.0021%"
"2021-09-25 17:00:00","1000SHIBUSDT Perpetual","8h","0.0072%"
"2021-09-25 09:00:00","1000SHIBUSDT Perpetual","8h","-0.0018%"
"2021-09-25 01:00:00","1000SHIBUSDT Perpetual","8h","0.0028%"
"2021-09-24 17:00:00","1000SHIBUSDT Perpetual","8h","-0.0099%"
"2021-09-24 09:00:00","1000SHIBUSDT Perpetual","8h","0.0091%"
"2021-09-24 01:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-23 17:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-23 09:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-23 01:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-22 17:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-22 09:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-22 01:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-21 17:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-21 09:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-21 01:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-20 17:00:00","1000SHIBUSDT Perpetual","8h","0.0059%"
"2021-09-20 09:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-20 01:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-19 17:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-19 09:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-19 01:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-18 17:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-18 09:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-18 01:00:00","1000SHIBUSDT Perpetual","8h","-0.0114%"
"2021-09-17 17:00:00","1000SHIBUSDT Perpetual","8h","-0.0358%"
"2021-09-17 09:00:00","1000SHIBUSDT Perpetual","8h","-0.0026%"
"2021-09-17 01:00:00","1000SHIBUSDT Perpetual","8h","-0.2521%"
"2021-09-16 17:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-16 09:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-16 01:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-15 17:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-15 09:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-15 01:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-14 17:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-14 09:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-14 01:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-13 17:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-13 09:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-13 01:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-12 17:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-12 09:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-12 01:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-11 17:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-11 09:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-11 01:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-10 17:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-10 09:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-10 01:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-09 17:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-09 09:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-09 01:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-08 17:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-08 09:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-08 01:00:00","1000SHIBUSDT Perpetual","8h","0.1474%"
"2021-09-07 17:00:00","1000SHIBUSDT Perpetual","8h","-0.7500%"
"2021-09-07 09:00:00","1000SHIBUSDT Perpetual","8h","0.0641%"
"2021-09-07 01:00:00","1000SHIBUSDT Perpetual","8h","0.0376%"
"2021-09-06 17:00:00","1000SHIBUSDT Perpetual","8h","0.0242%"
"2021-09-06 09:00:00","1000SHIBUSDT Perpetual","8h","0.1038%"
"2021-09-06 01:00:00","1000SHIBUSDT Perpetual","8h","0.0728%"
"2021-09-05 17:00:00","1000SHIBUSDT Perpetual","8h","0.0443%"
"2021-09-05 09:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-09-05 01:00:00","1000SHIBUSDT Perpetual","8h","0.0496%"
"2021-09-04 17:00:00","1000SHIBUSDT Perpetual","8h","0.1446%"
"2021-09-04 09:00:00","1000SHIBUSDT Perpetual","8h","0.1669%"
"2021-09-04 01:00:00","1000SHIBUSDT Perpetual","8h","0.1011%"
"2021-09-03 17:00:00","1000SHIBUSDT Perpetual","8h","0.1029%"
"2021-09-03 09:00:00","1000SHIBUSDT Perpetual","8h","0.1255%"
"2021-09-03 01:00:00","1000SHIBUSDT Perpetual","8h","0.0972%"
"2021-09-02 17:00:00","1000SHIBUSDT Perpetual","8h","0.0991%"
"2021-09-02 09:00:00","1000SHIBUSDT Perpetual","8h","0.1173%"
"2021-09-02 01:00:00","1000SHIBUSDT Perpetual","8h","0.0731%"
"2021-09-01 17:00:00","1000SHIBUSDT Perpetual","8h","0.0728%"
"2021-09-01 09:00:00","1000SHIBUSDT Perpetual","8h","0.0308%"
"2021-09-01 01:00:00","1000SHIBUSDT Perpetual","8h","0.0329%"
"2021-08-31 17:00:00","1000SHIBUSDT Perpetual","8h","0.0178%"
"2021-08-31 09:00:00","1000SHIBUSDT Perpetual","8h","0.0252%"
"2021-08-31 01:00:00","1000SHIBUSDT Perpetual","8h","0.0668%"
"2021-08-30 17:00:00","1000SHIBUSDT Perpetual","8h","0.0658%"
"2021-08-30 09:00:00","1000SHIBUSDT Perpetual","8h","0.0621%"
"2021-08-30 01:00:00","1000SHIBUSDT Perpetual","8h","0.0570%"
"2021-08-29 17:00:00","1000SHIBUSDT Perpetual","8h","0.0603%"
"2021-08-29 09:00:00","1000SHIBUSDT Perpetual","8h","0.0472%"
"2021-08-29 01:00:00","1000SHIBUSDT Perpetual","8h","0.0692%"
"2021-08-28 17:00:00","1000SHIBUSDT Perpetual","8h","0.0574%"
"2021-08-28 09:00:00","1000SHIBUSDT Perpetual","8h","0.0429%"
"2021-08-28 01:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-08-27 17:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-08-27 09:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-08-27 01:00:00","1000SHIBUSDT Perpetual","8h","0.0205%"
"2021-08-26 17:00:00","1000SHIBUSDT Perpetual","8h","0.0331%"
"2021-08-26 09:00:00","1000SHIBUSDT Perpetual","8h","0.0141%"
"2021-08-26 01:00:00","1000SHIBUSDT Perpetual","8h","0.0439%"
"2021-08-25 17:00:00","1000SHIBUSDT Perpetual","8h","0.0171%"
"2021-08-25 09:00:00","1000SHIBUSDT Perpetual","8h","0.0276%"
"2021-08-25 01:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-08-24 17:00:00","1000SHIBUSDT Perpetual","8h","0.0425%"
"2021-08-24 09:00:00","1000SHIBUSDT Perpetual","8h","0.1248%"
"2021-08-24 01:00:00","1000SHIBUSDT Perpetual","8h","0.0993%"
"2021-08-23 17:00:00","1000SHIBUSDT Perpetual","8h","0.0894%"
"2021-08-23 09:00:00","1000SHIBUSDT Perpetual","8h","0.1101%"
"2021-08-23 01:00:00","1000SHIBUSDT Perpetual","8h","0.0567%"
"2021-08-22 17:00:00","1000SHIBUSDT Perpetual","8h","0.0548%"
"2021-08-22 09:00:00","1000SHIBUSDT Perpetual","8h","0.0779%"
"2021-08-22 01:00:00","1000SHIBUSDT Perpetual","8h","0.0340%"
"2021-08-21 17:00:00","1000SHIBUSDT Perpetual","8h","0.0588%"
"2021-08-21 09:00:00","1000SHIBUSDT Perpetual","8h","0.1188%"
"2021-08-21 01:00:00","1000SHIBUSDT Perpetual","8h","0.0758%"
"2021-08-20 17:00:00","1000SHIBUSDT Perpetual","8h","0.0717%"
"2021-08-20 09:00:00","1000SHIBUSDT Perpetual","8h","0.0689%"
"2021-08-20 01:00:00","1000SHIBUSDT Perpetual","8h","0.0582%"
"2021-08-19 17:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-08-19 09:00:00","1000SHIBUSDT Perpetual","8h","0.0160%"
"2021-08-19 01:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-08-18 17:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-08-18 09:00:00","1000SHIBUSDT Perpetual","8h","0.0100%"
"2021-08-18 01:00:00","1000SHIBUSDT Perpetual","8h","0.0172%"
"2021-08-17 17:00:00","1000SHIBUSDT Perpetual","8h","0.0657%"
"2021-08-17 09:00:00","1000SHIBUSDT Perpetual","8h","0.0262%"
"2021-08-17 01:00:00","1000SHIBUSDT Perpetual","8h","0.0815%"
"2021-08-16 17:00:00","1000SHIBUSDT Perpetual","8h","0.1353%"
"2021-08-16 09:00:00","1000SHIBUSDT Perpetual","8h","0.1209%"
"2021-08-16 01:00:00","1000SHIBUSDT Perpetual","8h","0.1428%"
"2021-08-15 17:00:00","1000SHIBUSDT Perpetual","8h","0.1087%"
"2021-08-15 09:00:00","1000SHIBUSDT Perpetual","8h","0.0820%"
"2021-08-15 01:00:00","1000SHIBUSDT Perpetual","8h","0.0586%"
"2021-08-14 17:00:00","1000SHIBUSDT Perpetual","8h","0.1167%"
"2021-08-14 09:00:00","1000SHIBUSDT Perpetual","8h","0.1124%"
"2021-08-14 01:00:00","1000SHIBUSDT Perpetual","8h","0.0624%"
"2021-08-13 17:00:00","1000SHIBUSDT Perpetual","8h","0.0572%"
