"Time","Contracts","Funding Interval","Funding Rate"
"2021-10-06 17:00:00","AXSUSDT Perpetual","8h","-0.0609%"
"2021-10-06 09:00:00","AXSUSDT Perpetual","8h","0.0100%"
"2021-10-06 01:00:00","AXSUSDT Perpetual","8h","-0.0498%"
"2021-10-05 17:00:00","AXSUSDT Perpetual","8h","-0.0170%"
"2021-10-05 09:00:00","AXSUSDT Perpetual","8h","-0.1174%"
"2021-10-05 01:00:00","AXSUSDT Perpetual","8h","-0.0236%"
"2021-10-04 17:00:00","AXSUSDT Perpetual","8h","-0.0646%"
"2021-10-04 09:00:00","AXSUSDT Perpetual","8h","-0.1657%"
"2021-10-04 01:00:00","AXSUSDT Perpetual","8h","-0.1069%"
"2021-10-03 17:00:00","AXSUSDT Perpetual","8h","-0.0736%"
"2021-10-03 09:00:00","AXSUSDT Perpetual","8h","-0.1000%"
"2021-10-03 01:00:00","AXSUSDT Perpetual","8h","-0.0821%"
"2021-10-02 17:00:00","AXSUSDT Perpetual","8h","-0.0075%"
"2021-10-02 09:00:00","AXSUSDT Perpetual","8h","-0.0440%"
"2021-10-02 01:00:00","AXSUSDT Perpetual","8h","-0.0043%"
"2021-10-01 17:00:00","AXSUSDT Perpetual","8h","-0.0473%"
"2021-10-01 09:00:00","AXSUSDT Perpetual","8h","-0.0090%"
"2021-10-01 01:00:00","AXSUSDT Perpetual","8h","-0.0005%"
"2021-09-30 17:00:00","AXSUSDT Perpetual","8h","0.0100%"
"2021-09-30 09:00:00","AXSUSDT Perpetual","8h","0.0100%"
"2021-09-30 01:00:00","AXSUSDT Perpetual","8h","0.0100%"
"2021-09-29 17:00:00","AXSUSDT Perpetual","8h","0.0100%"
"2021-09-29 09:00:00","AXSUSDT Perpetual","8h","0.0100%"
"2021-09-29 01:00:00","AXSUSDT Perpetual","8h","0.0100%"
"2021-09-28 17:00:00","AXSUSDT Perpetual","8h","0.0100%"
"2021-09-28 09:00:00","AXSUSDT Perpetual","8h","0.0100%"
"2021-09-28 01:00:00","AXSUSDT Perpetual","8h","0.0100%"
"2021-09-27 17:00:00","AXSUSDT Perpetual","8h","0.0100%"
"2021-09-27 09:00:00","AXSUSDT Perpetual","8h","0.0100%"
"2021-09-27 01:00:00","AXSUSDT Perpetual","8h","-0.0068%"
"2021-09-26 17:00:00","AXSUSDT Perpetual","8h","-0.0005%"
"2021-09-26 09:00:00","AXSUSDT Perpetual","8h","0.0002%"
"2021-09-26 01:00:00","AXSUSDT Perpetual","8h","0.0100%"
"2021-09-25 17:00:00","AXSUSDT Perpetual","8h","0.0100%"
"2021-09-25 09:00:00","AXSUSDT Perpetual","8h","0.0100%"
"2021-09-25 01:00:00","AXSUSDT Perpetual","8h","0.0100%"
"2021-09-24 17:00:00","AXSUSDT Perpetual","8h","0.0100%"
"2021-09-24 09:00:00","AXSUSDT Perpetual","8h","-0.0077%"
"2021-09-24 01:00:00","AXSUSDT Perpetual","8h","-0.0798%"
"2021-09-23 17:00:00","AXSUSDT Perpetual","8h","-0.0181%"
"2021-09-23 09:00:00","AXSUSDT Perpetual","8h","-0.0468%"
"2021-09-23 01:00:00","AXSUSDT Perpetual","8h","-0.0849%"
"2021-09-22 17:00:00","AXSUSDT Perpetual","8h","-0.0676%"
"2021-09-22 09:00:00","AXSUSDT Perpetual","8h","0.0100%"
"2021-09-22 01:00:00","AXSUSDT Perpetual","8h","0.0100%"
"2021-09-21 17:00:00","AXSUSDT Perpetual","8h","0.0096%"
"2021-09-21 09:00:00","AXSUSDT Perpetual","8h","0.0100%"
"2021-09-21 01:00:00","AXSUSDT Perpetual","8h","0.0092%"
"2021-09-20 17:00:00","AXSUSDT Perpetual","8h","0.0018%"
"2021-09-20 09:00:00","AXSUSDT Perpetual","8h","0.0076%"
"2021-09-20 01:00:00","AXSUSDT Perpetual","8h","0.0100%"
"2021-09-19 17:00:00","AXSUSDT Perpetual","8h","0.0100%"
"2021-09-19 09:00:00","AXSUSDT Perpetual","8h","0.0100%"
"2021-09-19 01:00:00","AXSUSDT Perpetual","8h","0.0100%"
"2021-09-18 17:00:00","AXSUSDT Perpetual","8h","0.0100%"
"2021-09-18 09:00:00","AXSUSDT Perpetual","8h","0.0142%"
"2021-09-18 01:00:00","AXSUSDT Perpetual","8h","0.0100%"
"2021-09-17 17:00:00","AXSUSDT Perpetual","8h","0.0100%"
"2021-09-17 09:00:00","AXSUSDT Perpetual","8h","0.0100%"
"2021-09-17 01:00:00","AXSUSDT Perpetual","8h","0.0100%"
"2021-09-16 17:00:00","AXSUSDT Perpetual","8h","0.0100%"
"2021-09-16 09:00:00","AXSUSDT Perpetual","8h","0.0100%"
"2021-09-16 01:00:00","AXSUSDT Perpetual","8h","0.0100%"
"2021-09-15 17:00:00","AXSUSDT Perpetual","8h","0.0100%"
"2021-09-15 09:00:00","AXSUSDT Perpetual","8h","0.0100%"
"2021-09-15 01:00:00","AXSUSDT Perpetual","8h","0.0100%"
